GCF_000005825.2	Bacillus pseudofirmus OF4 (firmicutes)
GCF_000021325.1	Gluconacetobacter diazotrophicus PA1 5 (a-proteobacteria)
GCF_000021385.1	Desulfovibrio vulgaris str. 'Miyazaki F' (d-proteobacteria)
GCF_000021485.1	Acidithiobacillus ferrooxidans ATCC 23270 (proteobacteria)
GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1 (aquificales)
GCF_000021565.1	Persephonella marina EX-H1 (aquificales)
GCF_000021645.1	Dictyoglomus turgidum DSM 6724 (bacteria)
GCF_000021685.1	Thermomicrobium roseum DSM 5159 (GNS bacteria)
GCF_000021725.1	Nautilia profundicola AmH (e-proteobacteria)
GCF_000021745.1	Methylocella silvestris BL2 (a-proteobacteria)
GCF_000021805.1	Rippkaea orientalis PCC 8801 (cyanobacteria)
GCF_000021865.1	Rhodobacter capsulatus SB 1003 (a-proteobacteria)
GCF_000021885.1	Glaesserella parasuis SH0165 (g-proteobacteria)
GCF_000021925.1	Desulfitobacterium hafniense DCB-2 (firmicutes)
GCF_000021945.1	Chloroflexus aggregans DSM 9485 (GNS bacteria)
GCF_000021965.1	Methanosphaerula palustris E1-9c (euryarchaeotes)
GCF_000021985.1	Thioalkalivibrio sulfidiphilus HL-EbGr7 (g-proteobacteria)
GCF_000022005.1	Caulobacter vibrioides NA1000 (a-proteobacteria)
GCF_000022045.1	Cyanothece sp. PCC 7425 (cyanobacteria)
GCF_000022065.1	Ruminiclostridium cellulolyticum H10 (firmicutes)
GCF_000022085.1	Methylobacterium nodulans ORS 2060 (a-proteobacteria)
GCF_000022125.1	Desulfovibrio desulfuricans ATCC 27774 (d-proteobacteria)
GCF_000022145.1	Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)
GCF_000022205.1	Halorubrum lacusprofundi ATCC 49239 (euryarchaeotes)
GCF_000022265.1	Geobacter daltonii FRC-32 (d-proteobacteria)
GCF_000022305.1	Acidovorax ebreus TPSY (b-proteobacteria)
GCF_000022325.1	Caldicellulosiruptor bescii DSM 6725 (firmicutes)
GCF_000022365.1	Thermococcus gammatolerans EJ3 (euryarchaeotes)
GCF_000022385.1	Sulfolobus islandicus L.S.2.15 (crenarchaeotes)
GCF_000022525.1	Neorickettsia risticii str. Illinois (Potomac horse fever agent)
GCF_000022565.1	Acidobacterium capsulatum ATCC 51196 (bacteria)
GCF_000022605.2	Blattabacterium sp. (Blattella germanica) str. Bge (CFB group bacteria)
GCF_000022725.1	Bartonella grahamii as4aup (a-proteobacteria)
GCF_000022885.2	Edwardsiella ictaluri 93-146 (enterobacteria)
GCF_000022905.1	Corynebacterium aurimucosum ATCC 700975 (high GC Gram+)
GCF_000022965.1	Bifidobacterium animalis subsp. lactis DSM 10140 (high GC Gram+)
GCF_000023025.1	Teredinibacter turnerae T7901 (g-proteobacteria)
GCF_000023065.1	Tolumonas auensis DSM 9187 (g-proteobacteria)
GCF_000023105.1	Beutenbergia cavernae DSM 12333 (high GC Gram+)
GCF_000023125.1	Dyadobacter fermentans DSM 18053 (CFB group bacteria)
GCF_000023145.1	Corynebacterium kroppenstedtii DSM 44385 (high GC Gram+)
GCF_000023205.1	Micrococcus luteus NCTC 2665 (high GC Gram+)
GCF_000023225.1	Desulfomicrobium baculatum DSM 4028 (d-proteobacteria)
GCF_000023245.1	Actinosynnema mirum DSM 43827 (high GC Gram+)
GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331 (actinobacteria)
GCF_000023285.1	Capnocytophaga ochracea DSM 7271 (CFB group bacteria)
GCF_000023325.1	Kosmotoga olearia TBF 19.5.1 (bacteria)
GCF_000023445.1	Desulfovibrio salexigens DSM 2638 (d-proteobacteria)
GCF_000023465.1	Zunongwangia profunda SM-A87 (CFB group bacteria)
GCF_000023585.1	Paenibacillus sp. JDR-2 (firmicutes)
GCF_000023605.1	Pectobacterium carotovorum subsp. carotovorum PC1 (enterobacteria)
GCF_000023705.1	Methylotenera mobilis JLW8 (b-proteobacteria)
GCF_000023725.1	Flavobacteriaceae bacterium 3519-10 (CFB group bacteria)
GCF_000023745.1	Methylovorus glucosetrophus SIP3-4 (b-proteobacteria)
GCF_000023785.1	Hirschia baltica ATCC 49814 (a-proteobacteria)
GCF_000023825.1	Pedobacter heparinus DSM 2366 (CFB group bacteria)
GCF_000023845.1	Cryptobacterium curtum DSM 15641 (actinobacteria)
GCF_000023865.1	Saccharomonospora viridis DSM 43017 (high GC Gram+)
GCF_000023885.1	Slackia heliotrinireducens DSM 20476 (actinobacteria)
GCF_000023905.1	Leptotrichia buccalis C-1013-b (fusobacteria)
GCF_000023925.1	Kytococcus sedentarius DSM 20547 (high GC Gram+)
GCF_000023945.1	Halorhabdus utahensis DSM 12940 (euryarchaeotes)
GCF_000023965.1	Halomicrobium mukohataei DSM 12286 (euryarchaeotes)
GCF_000023985.1	Methanocaldococcus fervens AG86 (euryarchaeotes)
GCF_000024005.1	Chitinophaga pinensis DSM 2588 (CFB group bacteria)
GCF_000024025.1	Catenulispora acidiphila DSM 44928 (high GC Gram+)
GCF_000024065.1	Jonesia denitrificans DSM 20603 (high GC Gram+)
GCF_000024085.1	Kangiella koreensis DSM 16069 (g-proteobacteria)
GCF_000024105.1	Anaerococcus prevotii DSM 20548 (firmicutes)
GCF_000024125.1	Robiginitalea biformata HTCC2501 (CFB group bacteria)
GCF_000024165.1	Candidatus Accumulibacter phosphatis clade IIA str. UW-1 (b-proteobacteria)
GCF_000024185.1	Methanobrevibacter ruminantium M1 (euryarchaeotes)
GCF_000024205.1	Desulfofarcimen acetoxidans DSM 771 (firmicutes)
GCF_000024225.1	Atopobium parvulum DSM 20469 (actinobacteria)
GCF_000024265.1	Eggerthella lenta DSM 2243 (actinobacteria)
GCF_000024285.1	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446 (firmicutes)
GCF_000024325.1	Desulfohalobium retbaense DSM 5692 (d-proteobacteria)
GCF_000024345.1	Kribbella flavida DSM 17836 (high GC Gram+)
GCF_000024365.1	Nakamurella multipartita DSM 44233 (high GC Gram+)
GCF_000024385.1	Thermomonospora curvata DSM 43183 (high GC Gram+)
GCF_000024405.1	Sebaldella termitidis ATCC 33386 (fusobacteria)
GCF_000024465.1	Candidatus Puniceispirillum marinum IMCC1322 (a-proteobacteria)
GCF_000024505.1	Anaplasma centrale str. Israel (a-proteobacteria)
GCF_000024545.1	Stackebrandtia nassauensis DSM 44728 (high GC Gram+)
GCF_000024565.1	Streptobacillus moniliformis DSM 12112 (fusobacteria)
GCF_000024605.1	Ammonifex degensii KC4 (firmicutes)
GCF_000024625.1	Methanocaldococcus vulcanius M7 (euryarchaeotes)
GCF_000024725.1	Nitrosococcus halophilus Nc 4 (g-proteobacteria)
GCF_000024765.1	Halothiobacillus neapolitanus c2 (g-proteobacteria)
GCF_000024785.1	Gordonia bronchialis DSM 43247 (high GC Gram+)
GCF_000024845.1	Rhodothermus marinus DSM 4252 (CFB group bacteria)
GCF_000024865.1	Streptosporangium roseum DSM 43021 (high GC Gram+)
GCF_000024885.1	Sulfurospirillum deleyianum DSM 6946 (e-proteobacteria)
GCF_000024905.1	Thermanaerovibrio acidaminovorans DSM 6589 (bacteria)
GCF_000024925.1	Sanguibacter keddieii DSM 10542 (high GC Gram+)
GCF_000024945.1	Veillonella parvula DSM 2008 (firmicutes)
GCF_000024965.1	Xylanimonas cellulosilytica DSM 15894 (high GC Gram+)
GCF_000024985.1	Sphaerobacter thermophilus DSM 20745 (GNS bacteria)
GCF_000025005.1	Thermobaculum terrenum ATCC BAA-798 (GNS bacteria)
GCF_000025085.1	Staphylococcus lugdunensis HKU09-01 (firmicutes)
GCF_000025125.1	Candidatus Atelocyanobacterium thalassa isolate ALOHA (cyanobacteria)
GCF_000025185.1	Pirellula staleyi DSM 6068 (bacteria)
GCF_000025205.1	Gardnerella vaginalis 409-05 (high GC Gram+)
GCF_000025225.2	Mageeibacillus indolicus UPII9-5 (firmicutes)
GCF_000025265.1	Conexibacter woesei DSM 14684 (actinobacteria)
GCF_000025285.1	Archaeoglobus profundus DSM 5631 (euryarchaeotes)
GCF_000025305.1	Acidaminococcus fermentans DSM 20731 (firmicutes)
GCF_000025325.1	Haloterrigena turkmenica DSM 5511 (euryarchaeotes)
GCF_000025345.1	Geodermatophilus obscurus DSM 43160 (high GC Gram+)
GCF_000025405.2	Pantoea ananatis LMG 20103 (enterobacteria)
GCF_000025485.1	Allochromatium vinosum DSM 180 (g-proteobacteria)
GCF_000025505.1	Ferroglobus placidus DSM 10642 (euryarchaeotes)
GCF_000025565.1	Enterobacter cloacae subsp. cloacae ATCC 13047 (enterobacteria)
GCF_000025605.1	Thermocrinis albus DSM 14484 (aquificales)
GCF_000025625.1	Natrialba magadii ATCC 43099 (euryarchaeotes)
GCF_000025645.1	Thermoanaerobacter italicus Ab9 (firmicutes)
GCF_000025665.1	Aciduliprofundum boonei T469 (archaea)
GCF_000025685.1	Haloferax volcanii DS2 (euryarchaeotes)
GCF_000025705.1	Sideroxydans lithotrophicus ES-1 (b-proteobacteria)
GCF_000025725.1	Denitrovibrio acetiphilus DSM 12809 (bacteria)
GCF_000025845.1	Mycoplasma crocodyli MP145 (mycoplasmas)
GCF_000025865.1	Methanohalophilus mahii DSM 5219 (euryarchaeotes)
GCF_000025885.1	Aminobacterium colombiense DSM 12261 (bacteria)
GCF_000025905.1	Coraliomargarita akajimensis DSM 45221 (verrucomicrobia)
GCF_000025925.1	Prevotella ruminicola 23 (CFB group bacteria)
GCF_000025945.1	Desulfotalea psychrophila LSv54 (d-proteobacteria)
GCF_000026005.1	Ehrlichia ruminantium str. Welgevonden (heartwater rickettsia)
GCF_000026045.1	Natronomonas pharaonis DSM 2160 (euryarchaeotes)
GCF_000026065.1	Lactobacillus sakei subsp. sakei 23K (firmicutes)
GCF_000026105.1	Pseudomonas entomophila L48 (g-proteobacteria)
GCF_000026125.1	Herminiimonas arsenicoxydans (b-proteobacteria)
GCF_000026205.1	Candidatus Phytoplasma mali (mycoplasmas)
GCF_000026325.1	Escherichia coli UMN026 (E. coli)
GCF_000026345.1	Escherichia coli IAI39 (E. coli)
GCF_000026405.1	Leuconostoc citreum KM20 (firmicutes)
GCF_000026505.1	Lactobacillus rhamnosus GG (firmicutes)
GCF_000026605.1	Streptococcus equi subsp. zooepidemicus (firmicutes)
GCF_000026745.1	Streptococcus suis BM407 (firmicutes)
GCF_000027145.1	Listeria seeligeri serovar 1/2b str. SLCC3954 (firmicutes)
GCF_000027165.1	Streptococcus mitis B6 (firmicutes)
GCF_000027225.1	Xenorhabdus bovienii SS-2004 (enterobacteria)
GCF_000027305.1	Haemophilus influenzae Rd KW20 (g-proteobacteria)
GCF_000027325.1	Mycoplasma genitalium G37 (mycoplasmas)
GCF_000027345.1	Mycoplasma pneumoniae M129 (mycoplasmas)
GCF_000046705.1	Bartonella henselae str. Houston-1 (a-proteobacteria)
GCF_000055785.1	Chromohalobacter salexigens DSM 3043 (g-proteobacteria)
GCF_000055945.1	Lawsonia intracellularis PHE/MN1-00 (d-proteobacteria)
GCF_000056065.1	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002 (firmicutes)
GCF_000058485.1	Frankia alni ACN14a (high GC Gram+)
GCF_000062885.1	Saccharopolyspora erythraea NRRL 2338 (high GC Gram+)
GCF_000063445.1	Methanocella arvoryzae MRE50 (euryarchaeotes)
GCF_000063505.1	Synechococcus sp. WH 7803 (cyanobacteria)
GCF_000063525.1	Synechococcus sp. RCC307 (cyanobacteria)
GCF_000063545.1	Orientia tsutsugamushi str. Boryong (a-proteobacteria)
GCF_000063585.1	Clostridium botulinum A str. ATCC 3502 (firmicutes)
GCF_000063605.1	Mycoplasma agalactiae PG2 (mycoplasmas)
GCF_000064305.2	Flavobacterium psychrophilum JIP02/86 (CFB group bacteria)
GCF_000067165.1	Sorangium cellulosum So ce56 (d-proteobacteria)
GCF_000067205.1	Bordetella petrii (b-proteobacteria)
GCF_000068585.1	Chlamydia trachomatis 434/Bu (chlamydias)
GCF_000069025.1	Halobacterium salinarum R1 (euryarchaeotes)
GCF_000069185.1	Mycobacteroides abscessus ATCC 19977 (high GC Gram+)
GCF_000069225.1	Clavibacter michiganensis subsp. sepedonicus (high GC Gram+)
GCF_000069925.1	Candidatus Phytoplasma australiense (mycoplasmas)
GCF_000069945.1	Corynebacterium urealyticum DSM 7109 (high GC Gram+)
GCF_000072485.1	Stenotrophomonas maltophilia K279a (g-proteobacteria)
GCF_000085865.1	Mycoplasma hominis ATCC 23114 (mycoplasmas)
GCF_000090965.1	Buchnera aphidicola BCc (enterobacteria)
GCF_000091125.1	Sphingobium japonicum UT26S (a-proteobacteria)
GCF_000091305.1	Streptomyces scabiei 87.22 (high GC Gram+)
GCF_000091325.1	Shewanella violacea DSS12 (g-proteobacteria)
GCF_000091465.1	Vibrio atlanticus (g-proteobacteria)
GCF_000091545.1	Thermus thermophilus HB8 (bacteria)
GCF_000091565.1	Erwinia amylovora CFBP1430 (enterobacteria)
GCF_000091665.1	Methanocaldococcus jannaschii DSM 2661 (euryarchaeotes)
GCF_000091785.1	Legionella longbeachae NSW150 (g-proteobacteria)
GCF_000092025.1	Agrobacterium fabrum str. C58 (a-proteobacteria)
GCF_000092045.1	Rhizobium etli CFN 42 (a-proteobacteria)
GCF_000092105.1	Planctopirus limnophila DSM 3776 (planctomycetes)
GCF_000092125.1	Meiothermus silvanus DSM 9946 (bacteria)
GCF_000092185.1	Thermosphaera aggregans DSM 11486 (crenarchaeotes)
GCF_000092205.1	Desulfurivibrio alkaliphilus AHT 2 (d-proteobacteria)
GCF_000092225.1	Tsukamurella paurometabola DSM 20162 (high GC Gram+)
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299 (e-proteobacteria)
GCF_000092265.1	Moraxella catarrhalis BBH18 (g-proteobacteria)
GCF_000092305.1	Methanocaldococcus infernus ME (euryarchaeotes)
GCF_000092365.1	Arcanobacterium haemolyticum DSM 20595 (high GC Gram+)
GCF_000092385.1	Streptomyces bingchenggensis BCW-1 (high GC Gram+)
GCF_000092405.1	Syntrophothermus lipocalidus DSM 12680 (firmicutes)
GCF_000092425.1	Truepera radiovictrix DSM 17093 (bacteria)
GCF_000092465.1	Staphylothermus hellenicus DSM 12710 (crenarchaeotes)
GCF_000092505.1	Leuconostoc kimchii IMSNU 11154 (firmicutes)
GCF_000092565.1	Leptospira interrogans serovar Lai str. 56601 (bacteria)
GCF_000092585.1	Mycoplasma gallisepticum str. R(low) (mycoplasmas)
GCF_000092645.1	Thermobispora bispora DSM 43833 (high GC Gram+)
GCF_000092785.1	Waddlia chondrophila WSU 86-1044 (bacteria)
GCF_000092825.1	Segniliparus rotundus DSM 44985 (high GC Gram+)
GCF_000092845.1	Brachyspira murdochii DSM 12563 (bacteria)
GCF_000092865.1	Cellulomonas flavigena DSM 20109 (high GC Gram+)
GCF_000092905.1	Kyrpidia tusciae DSM 2912 (firmicutes)
GCF_000092925.1	Starkeya novella DSM 506 (a-proteobacteria)
GCF_000092985.1	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111 (high GC Gram+)
GCF_000093025.1	Methylotenera versatilis 301 (b-proteobacteria)
GCF_000093065.1	Candidatus Riesia pediculicola USDA (enterobacteria)
GCF_000093085.1	[Bacillus] selenitireducens MLS10 (firmicutes)
GCF_000093165.1	Blattabacterium sp. (Periplaneta americana) str. BPLAN (CFB group bacteria)
GCF_000143085.1	Nitrosococcus watsonii C-113 (g-proteobacteria)
GCF_000143145.1	Hyphomicrobium denitrificans ATCC 51888 (a-proteobacteria)
GCF_000143165.1	Dehalogenimonas lykanthroporepellens BL-DC-9 (GNS bacteria)
GCF_000143845.1	Olsenella uli DSM 7084 (actinobacteria)
GCF_000143965.1	Desulfarculus baarsii DSM 2075 (d-proteobacteria)
GCF_000144405.1	Prevotella melaninogenica ATCC 25845 (CFB group bacteria)
GCF_000144605.1	Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)
GCF_000144625.1	[Clostridium] saccharolyticum WM1 (firmicutes)
GCF_000144645.1	Thermosediminibacter oceani DSM 16646 (firmicutes)
GCF_000144675.1	Corynebacterium pseudotuberculosis C231 (high GC Gram+)
GCF_000144695.1	Acetohalobium arabaticum DSM 5501 (firmicutes)
GCF_000144915.1	Acidilobus saccharovorans 345-15 (crenarchaeotes)
GCF_000145035.1	Butyrivibrio proteoclasticus B316 (firmicutes)
GCF_000145235.1	Micromonospora aurantiaca ATCC 27029 (high GC Gram+)
GCF_000145255.1	Gallionella capsiferriformans ES-2 (b-proteobacteria)
GCF_000145275.1	Clostridium cellulovorans 743B (firmicutes)
GCF_000145295.1	Methanothermobacter marburgensis str. Marburg (euryarchaeotes)
GCF_000145615.1	Thermoanaerobacterium thermosaccharolyticum DSM 571 (firmicutes)
GCF_000146065.2	Candidatus Cloacimonas acidaminovorans str. Evry (bacteria)
GCF_000146165.2	Shewanella oneidensis MR-1 (g-proteobacteria)
GCF_000146185.1	[Eubacterium] eligens ATCC 27750 (firmicutes)
GCF_000146505.1	Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)
GCF_000147055.1	Dickeya dadantii 3937 (enterobacteria)
GCF_000147335.1	Gloeothece verrucosa PCC 7822 (cyanobacteria)
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294 (e-proteobacteria)
GCF_000147695.2	Thermoanaerobacter wiegelii Rt8.B1 (firmicutes)
GCF_000147815.2	Streptomyces violaceusniger Tu 4113 (high GC Gram+)
GCF_000147835.2	Sphingobium chlorophenolicum L-1 (a-proteobacteria)
GCF_000147875.1	Methanolacinia petrolearia DSM 11571 (euryarchaeotes)
GCF_000148645.1	Ferrimonas balearica DSM 9799 (g-proteobacteria)
GCF_000151105.2	Thermococcus barophilus MP (euryarchaeotes)
GCF_000152245.2	Eubacterium callanderi (firmicutes)
GCF_000152265.2	Ferroplasma acidarmanus fer1 (archaea)
GCF_000152825.2	Parvularcula bermudensis HTCC2503 (a-proteobacteria)
GCF_000153165.2	Maribacter sp. HTCC2170 (CFB group bacteria)
GCF_000153405.2	Psychromonas sp. CNPT3 (g-proteobacteria)
GCF_000153485.2	Psychroflexus torquis ATCC 700755 (CFB group bacteria)
GCF_000154785.2	Roseobacter litoralis Och 149 (a-proteobacteria)
GCF_000155735.2	Octadecabacter arcticus 238 (a-proteobacteria)
GCF_000157355.2	Enterococcus casseliflavus EC20 (firmicutes)
GCF_000157895.3	Mycobacterium kansasii ATCC 12478 (high GC Gram+)
GCF_000158275.2	Fusobacterium nucleatum subsp. animalis 7_1 (fusobacteria)
GCF_000159155.2	Gardnerella vaginalis ATCC 14019 (high GC Gram+)
GCF_000163895.2	Filifactor alocis ATCC 35896 (firmicutes)
GCF_000164675.2	Streptococcus parasanguinis ATCC 15912 (firmicutes)
GCF_000164695.2	Rothia dentocariosa ATCC 17931 (high GC Gram+)
GCF_000164865.1	[Enterobacter] lignolyticus SCF1 (enterobacteria)
GCF_000164985.3	Paenibacillus polymyxa SC2 (firmicutes)
GCF_000165465.1	Halanaerobium praevalens DSM 2228 (firmicutes)
GCF_000165485.1	Stigmatella aurantiaca DW4/3-1 (d-proteobacteria)
GCF_000165505.1	Ilyobacter polytropus DSM 2926 (fusobacteria)
GCF_000165715.2	Rubinisphaera brasiliensis DSM 5305 (planctomycetes)
GCF_000165905.1	Bifidobacterium bifidum PRL2010 (high GC Gram+)
GCF_000166055.1	Rhodomicrobium vannielii ATCC 17100 (a-proteobacteria)
GCF_000166095.1	Methanothermus fervidus DSM 2088 (euryarchaeotes)
GCF_000166295.1	Marinobacter adhaerens HP15 (g-proteobacteria)
GCF_000166395.1	Leadbetterella byssophila DSM 17132 (CFB group bacteria)
GCF_000166415.1	Halanaerobium hydrogeniformans (firmicutes)
GCF_000172635.2	Alteromonas macleodii ATCC 27126 (g-proteobacteria)
GCF_000172995.2	Halogeometricum borinquense DSM 11551 (euryarchaeotes)
GCF_000174395.2	Enterococcus faecium DO (firmicutes)
GCF_000175095.2	Nitrosomonas sp. AL212 (b-proteobacteria)
GCF_000175215.2	Asticcacaulis excentricus CB 48 (a-proteobacteria)
GCF_000175575.2	Acidithiobacillus caldus ATCC 51756 (proteobacteria)
GCF_000176855.2	Acidovorax avenae subsp. avenae ATCC 19860 (b-proteobacteria)
GCF_000176915.2	Pseudodesulfovibrio aespoeensis Aspo-2 (d-proteobacteria)
GCF_000177235.2	Bacillus cellulosilyticus DSM 2522 (firmicutes)
GCF_000177535.2	Corynebacterium resistens DSM 45100 (high GC Gram+)
GCF_000177615.2	Candidatus Frankia datiscae (high GC Gram+)
GCF_000177635.2	Desulfurispirillum indicum S5 (bacteria)
GCF_000178115.2	Ethanoligenens harbinense YUAN-3 (firmicutes)
GCF_000178835.2	Cellulosilyticum lentocellum DSM 5427 (firmicutes)
GCF_000178875.2	Shewanella baltica OS678 (g-proteobacteria)
GCF_000178955.2	Granulicella mallensis MP5ACTX8 (bacteria)
GCF_000178975.2	Granulicella tundricola MP5ACTX9 (bacteria)
GCF_000179035.2	Mycoplasma suis str. Illinois (mycoplasmas)
GCF_000179395.2	Corynebacterium variabile DSM 44702 (high GC Gram+)
GCF_000179575.2	Methanothermococcus okinawensis IH1 (euryarchaeotes)
GCF_000179635.2	Ruminococcus albus 7 = DSM 20455 (firmicutes)
GCF_000179915.2	Terriglobus saanensis SP1PR4 (bacteria)
GCF_000180175.2	Plautia stali symbiont (enterobacteria)
GCF_000182745.2	Komagataeibacter medellinensis NBRC 3288 (a-proteobacteria)
GCF_000183135.1	Paludibacter propionicigenes WB4 (CFB group bacteria)
GCF_000183345.1	Escherichia coli O83:H1 str. NRG 857C (E. coli)
GCF_000183385.1	Mycoplasma bovis PG45 (mycoplasmas)
GCF_000183405.1	Calditerrivibrio nitroreducens DSM 19672 (bacteria)
GCF_000183425.1	Marivirga tractuosa DSM 4126 (CFB group bacteria)
GCF_000183665.1	Candidatus Liberibacter solanacearum CLso-ZC1 (a-proteobacteria)
GCF_000183725.1	Sulfuricurvum kujiense DSM 16994 (e-proteobacteria)
GCF_000183745.1	Oceanithermus profundus DSM 14977 (bacteria)
GCF_000184345.1	Spirochaeta thermophila DSM 6578 (spirochetes)
GCF_000184435.1	Mycolicibacterium gilvum Spyr1 (high GC Gram+)
GCF_000184685.1	Intrasporangium calvum DSM 43043 (high GC Gram+)
GCF_000184705.1	Thermaerobacter marianensis DSM 12885 (firmicutes)
GCF_000184745.1	Variovorax paradoxus EPS (b-proteobacteria)
GCF_000185805.1	Thermovibrio ammonificans HB-1 (bacteria)
GCF_000185885.1	Staphylococcus pseudintermedius HKU10-03 (firmicutes)
GCF_000185905.1	Mesorhizobium ciceri biovar biserrulae WSM1271 (a-proteobacteria)
GCF_000185965.1	Pseudoxanthomonas suwonensis 11-1 (g-proteobacteria)
GCF_000185985.2	Candidatus Blochmannia vafer str. BVAF (enterobacteria)
GCF_000186245.1	Nitratifractor salsuginis DSM 16511 (e-proteobacteria)
GCF_000186265.1	Cellulophaga algicola DSM 14237 (CFB group bacteria)
GCF_000186345.1	Isosphaera pallida ATCC 43644 (bacteria)
GCF_000186365.1	Desulfurococcus mucosus DSM 2162 (crenarchaeotes)
GCF_000186885.1	Desulfobulbus propionicus DSM 2032 (d-proteobacteria)
GCF_000186985.1	Mycoplasma haemofelis Ohio2 (mycoplasmas)
GCF_000187005.1	Thermus scotoductus SA-01 (bacteria)
GCF_000189295.2	Pseudodesulfovibrio mercurii (d-proteobacteria)
GCF_000189415.1	Weeksella virosa DSM 16922 (CFB group bacteria)
GCF_000189775.2	Thermoanaerobacterium xylanolyticum LX-11 (firmicutes)
GCF_000190315.1	Vulcanisaeta moutnovskia 768-28 (crenarchaeotes)
GCF_000190435.1	Sphaerochaeta globosa str. Buddy (spirochetes)
GCF_000190535.1	Odoribacter splanchnicus DSM 20712 (CFB group bacteria)
GCF_000190555.1	Deinococcus proteolyticus MRP (bacteria)
GCF_000190575.1	Phocaeicola salanitronis DSM 18170 (CFB group bacteria)
GCF_000190595.1	Cellulophaga lytica DSM 7489 (CFB group bacteria)
GCF_000190735.1	Pseudopedobacter saltans DSM 12145 (CFB group bacteria)
GCF_000191045.1	Desulfurobacterium thermolithotrophum DSM 11699 (bacteria)
GCF_000191145.1	Acinetobacter pittii PHEA-2 (g-proteobacteria)
GCF_000191545.1	Lactobacillus amylovorus (firmicutes)
GCF_000191585.1	Methanobacterium lacus (euryarchaeotes)
GCF_000192745.1	Polymorphum gilvum SL003B-26A1 (a-proteobacteria)
GCF_000192845.1	Sphingobacterium sp. 21 (CFB group bacteria)
GCF_000192865.1	Marinomonas mediterranea MMB-1 (g-proteobacteria)
GCF_000193375.1	Thermoproteus uzoniensis 768-20 (crenarchaeotes)
GCF_000193395.1	Prevotella denticola F0289 (CFB group bacteria)
GCF_000194135.1	Hippea maritima DSM 10411 (d-proteobacteria)
GCF_000194605.1	Fluviicola taffensis DSM 16823 (CFB group bacteria)
GCF_000194625.1	Archaeoglobus veneficus SNP6 (euryarchaeotes)
GCF_000195085.1	Candidatus Pelagibacter sp. IMCC9063 (a-proteobacteria)
GCF_000195275.1	Treponema succinifaciens DSM 2489 (spirochetes)
GCF_000195295.1	Desulfobacca acetoxidans DSM 11109 (d-proteobacteria)
GCF_000195315.1	Coriobacterium glomerans PW2 (actinobacteria)
GCF_000195335.1	Marinithermus hydrothermalis DSM 14884 (bacteria)
GCF_000195715.1	Bordetella pertussis Tohama I (b-proteobacteria)
GCF_000195735.1	Rickettsia prowazekii str. Madrid E (a-proteobacteria)
GCF_000195755.1	Desulfovibrio vulgaris str. Hildenborough (d-proteobacteria)
GCF_000195775.1	Rhodopseudomonas palustris CGA009 (a-proteobacteria)
GCF_000195835.1	Mycobacterium bovis AF2122/97 (high GC Gram+)
GCF_000195855.1	Mycobacterium leprae TN (high GC Gram+)
GCF_000195875.1	Mycoplasma pulmonis UAB CTIP (mycoplasmas)
GCF_000195915.1	Thermoplasma acidophilum DSM 1728 (archaea)
GCF_000195935.2	Pyrococcus abyssi GE5 (euryarchaeotes)
GCF_000195955.2	Mycobacterium tuberculosis H37Rv (high GC Gram+)
GCF_000195975.1	Synechococcus sp. WH 8102 (cyanobacteria)
GCF_000195995.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18 (enterobacteria)
GCF_000196015.1	Cupriavidus metallidurans CH34 (b-proteobacteria)
GCF_000196035.1	Listeria monocytogenes EGD-e (firmicutes)
GCF_000196095.1	Vibrio parahaemolyticus RIMD 2210633 (g-proteobacteria)
GCF_000196115.1	Rhodopirellula baltica SH 1 (bacteria)
GCF_000196135.1	Wolinella succinogenes DSM 1740 (e-proteobacteria)
GCF_000196175.1	Bdellovibrio bacteriovorus HD100 (proteobacteria)
GCF_000196235.1	Arthrobacter sp. FB24 (high GC Gram+)
GCF_000196255.1	Photobacterium profundum SS9 (g-proteobacteria)
GCF_000196275.1	Deinococcus geothermalis DSM 11300 (bacteria)
GCF_000196295.1	Neisseria lactamica 020-06 (b-proteobacteria)
GCF_000196315.1	Croceibacter atlanticus HTCC2559 (CFB group bacteria)
GCF_000196355.1	Nitrosospira multiformis ATCC 25196 (b-proteobacteria)
GCF_000196395.1	Aeromonas salmonicida subsp. salmonicida A449 (g-proteobacteria)
GCF_000196435.1	Bartonella tribocorum CIP 105476 (a-proteobacteria)
GCF_000196455.1	[Clostridium] sticklandii (firmicutes)
GCF_000196495.1	Aliivibrio salmonicida LFI1238 (g-proteobacteria)
GCF_000196515.1	'Nostoc azollae' 0708 (cyanobacteria)
GCF_000196535.1	Mobiluncus curtisii ATCC 43063 (high GC Gram+)
GCF_000196615.1	Erwinia billingiae Eb661 (enterobacteria)
